trainable_parameters,execution_time,loss,accuracy,model_size,learning_rate,batch_size,epochs,optimizer,experiment,model_name
2306051,2.5078550974527993,42.71113967895508,0.9272727370262146,9595256,0.001,32,10,SGD,experiment_1695565197,tfhub_mobilenetv2_train_base_True
2388227,3.743426779905955,70.68180847167969,0.9272727370262146,9914592,0.001,32,15,SGD,experiment_1695565197,mobilenetv2_train_base_True
82179,2.1979817946751914,42.55095291137695,0.8969696760177612,9595256,0.001,32,10,SGD,experiment_1695565197,tfhub_mobilenetv2_train_base_False
164355,3.670515565077464,70.47649383544922,0.8969696760177612,9913344,0.001,32,15,SGD,experiment_1695565197,mobilenetv2_train_base_False
2306051,2.766316751639048,42.69767379760742,0.8909090757369995,9595256,0.001,32,10,SGD,experiment_1695914523,tfhub_mobilenetv2_train_base_True
2388227,3.9289257764816283,70.85033416748047,0.8848484754562378,9914592,0.001,32,15,SGD,experiment_1695914523,mobilenetv2_train_base_True
2388227,4.087471254666647,70.94154357910156,0.8787878751754761,9914592,0.001,32,15,SGD,experiment_1698846618,mobilenetv2_train_base_True
82179,2.483637261390686,42.83494567871094,0.8787878751754761,9595256,0.001,32,10,SGD,experiment_1695914523,tfhub_mobilenetv2_train_base_False
164355,3.789234141508738,70.87435913085938,0.8787878751754761,9913344,0.001,32,15,SGD,experiment_1695914523,mobilenetv2_train_base_False
2306051,2.724733416239421,42.97444534301758,0.8484848737716675,9595256,0.001,32,10,SGD,experiment_1698846618,tfhub_mobilenetv2_train_base_True
82179,2.266507025559743,42.91104507446289,0.842424213886261,9595256,0.001,32,10,SGD,experiment_1698846618,tfhub_mobilenetv2_train_base_False
164355,3.9662310759226482,70.95925903320312,0.8181818127632141,9913344,0.001,32,15,SGD,experiment_1698846618,mobilenetv2_train_base_False
25950531,8.280586890379588,1.1429957151412964,0.6424242258071899,103830264,0.01,32,25,SGD,experiment_1695565197,2_block
25950531,7.1112727403640745,1.1267950534820557,0.6000000238418579,103830264,0.01,32,25,SGD,experiment_1695914523,2_block
11112323,7.280197310447693,0.9737541675567627,0.5696969628334045,44493568,0.01,32,25,SGD,experiment_1695914523,4_block
25950531,7.257059895992279,1.024144172668457,0.539393961429596,103830264,0.01,32,25,SGD,experiment_1698846618,2_block
11112323,7.293697293599447,0.9451658129692078,0.539393961429596,44493568,0.01,32,25,SGD,experiment_1695565197,4_block
11112323,7.36799787680308,1.0564566850662231,0.4909090995788574,44493568,0.01,32,25,SGD,experiment_1698846618,4_block
22514755,4.552604337533315,1.0832713842391968,0.4909090995788574,90109216,0.01,32,15,SGD,experiment_1695914523,vgg_style
22514755,4.413082635402679,1.0523266792297363,0.4787878692150116,90109216,0.01,32,15,SGD,experiment_1695565197,vgg_style
22514755,4.4839180906613665,1.1037030220031738,0.4060606062412262,90109216,0.01,32,15,SGD,experiment_1698846618,vgg_style
